축제명,개최기간,개최지역,설명
용설애(愛) FESTA,7.20.~10.20.|11:30~16:30,경기도 안성시,"""용설애(愛) FESTA""는 7월부터 10월까지 가족과 어린이를 메인 관람객으로 진행되는 축제로, 다채로운 실내·외 프로그램(에어바운스)과 먹거리가 준비되어 있다."
양평메기수염축제,5.11.~9.8.|10:00~16:00,경기도 양평군,양평은 대한민국에서 맑은 물로 유명한 곳입니다. 그곳에서도 수미마을은 365일 축제로 유명한 곳이다. 양평의 맑은 물과 농촌관광의 메카인 수미마을 메기의 우수성을 알리고자 여름을 맞이해서 ‘양평 메기수염 축제’를 기획하였다.
이월드 트로피컬 아쿠아월드,6.15.~8.31.|이월드홈페이지참고,대구시 달서구,"이번 <이월드 트로피컬 아쿠아월드>에서는 낮에는 하와이안 휴양존으로 떠나는 아쿠아빌리지와 밤에 흠뻑 젖을 수 있는 EDM 워터파티인 다이나믹 아쿠아밤을 선보인다.  올해 새롭게 선보이는 다이나믹 아쿠아밤에서는 다이나믹 광장이 0000으로 변신한다. 초대형 워터 캐논과 함께 흠뻑 젖으며 신나는 EDM을 즐기며 일상에 지친 스트레스와 한 여름밤의 무더위를 날려보자. 또한 이번 아쿠아빌리지는 휴양지 느낌으로 변신하여, 어린이부터 어른까지 모두 다 즐길 수 있는 초대형 스위밍 풀을 오픈한다. 더위를 날리는 짜릿한 워터슬라이드가 있는 성인용 풀부터 수심 60cm의 어린이용 풀까지 모두 만나볼 수 있다. 

또한 이월드 여름시즌에는 <이월드 트로피컬 아쿠아월드> 외에도  푸르른 수국을 만나볼 수 있는 <이월드 블루밍가든>, 2천평 포시즌스를 가득 채운 해바라기를 만날 수 있는 등 여름 내내 다채로운 볼거리를 제공한다."
쁘띠프랑스 & 이탈리아마을 베니스가면축제,7.1.~8.31.|09:00~18:00,경기도 가평군,"한국 안에 작은 유럽 마을 쁘띠프랑스 & 이탈리아 마을은, 코로나 이후 마스크 없이 다닐 수 있는 첫 여름을 맞이하여 세계 10대 축제 중 하나로 손꼽히는 이탈리아 베네치아의 가면 축제를 주요 테마로 행사를 진행한다. 인근 청평 호반의 시원한 경치와 함께 쁘띠프랑스&이탈리아 마을에 방문하여, 교육적이고 재미있는 문화행사를 가족, 연인과 함께 즐길 수 있다."
마노르블랑 수국축제,4.10.~8.31.|09:00~19:00(마지막주문18시),제주도 서귀포시,마노르블랑은 서귀포시에 위치한 정원이 아름다운 수목원/식물원/카페 이다. 이곳은 작년에 이어 올해도 유럽수국축제를 맞이하고 있다. 축제기간은 4월부터 8월까지이다. 우리나라 최남단에 위치하고 있어 노지 수국들이 우리나라에서 가장 빨리 개화중이다. 제주 수국을 비롯하여 전세계 30여종 7천여본 수국은 오직 마노르블랑에서만 만날수있다. 작년에 비해 더 많고 다양한 수국들로 준비되었고 사랑과 정성으로 가꾸어진 다양한 수국들을 마노르블랑 곳곳에서 만날 수 있다. 또한 산방산과 송악산 사이로 형제섬과 사계앞바다가 보이는 환상적인 조망은 마노르블랑에서만 만날 수 있다. 환상적인 조망과 함께 수국 인생샷을 남길 수 있는 다양한 산책로와 포토존이 준비되어 있고 야외 잔디정원에서는 피아노 연주 버스킹을 즐길 수 있다.
서울거리공연 구석구석 라이브,4.1.~11.30.|11:30~19:30,서울시 마포구,"2024 서울거리공연 구석구석라이브는 서울 전역 50곳의 장소에서 진행되는 거리 공연이다. 문화 예술을 통해 시민들에게 일상의 이벤트를 가져다주고, 다양한 문화공연 향유 기회를 확대하기 위해 진행되며 공개모집을 통해 선발된 150팀의 아티스트들이 11월 말까지 서울의 다양한 장소에서 공연을 진행할 예정이다."
청도 프로방스 빛축제,2.19.~11.17.|15:00~22:00(매주수요일휴무),경상북도 청도군,"1996년 청도 테마랜드로 오픈하였다. 2012년 청도프로방스 포토랜드로 새롭게 단장하여 여러분을 맞이한지 10년이 흘렀다.

프랑스의 정감 있는 프로방스 마을을 청도에 그대로 재현하였다. 투명한 햇살 아래 무르익은 포도, 광활하게 펼쳐진 보랏빛의 라벤더, 풍요로운 대자연 속에 독특한 문화와 예술이 살아 숨 쉬는 그곳은 바로 프랑스 남동부 지역의 프로방스 마을이다. 고흐, 세잔, 샤갈, 마티스 등이 사랑한 그곳 프로방스 마을로의 로맨틱한 여행과 빛 축제를 즐길 수 있는 곳이다. 낮에는 100여 가지 다양한 포토존과 아기자기한 소품, 예쁜 집들이 여러분을 맞이하고 어둠이 내리면 눈부시게 빛나는 빛 축제로 변신하는 곳이다."
DMZ OPEN 페스티벌,5.9.~11.16.,경기도 파주시,"2024년 DMZ OPEN 페스티벌이 다시 돌아왔다. DMZ OPEN은 닫힌 DMZ의 문을 열어 전문가부터 일반인 모두에게, 학술부터 스포츠, 예술까지 다양한 장르의 오픈을 상징하는 축제이다. 2024년 5월 9일부터 11월 16일까지, 경기도 DMZ에서 진행되며, 주요 행사로는 [DMZ 느끼다] 전시·콘서트·국제 음악제, [DMZ 생각하다] 포럼·해커톤·강연·오픈 랩, 그리고 [DMZ 걷다] 걷기·마라톤 등이 준비되어 있다."
한국민속촌 조선살인수사,4.6.~11.10.|13:00~21:00(금토일및공휴일),경기도 용인시,"관람객이 직접 살인사건을 추리하는 추리 콘텐츠 ‘조선살인수사’를 11월 10일까지 금·토·일 및 공휴일 간 진행한다.
‘조선시대 살인사건’을 주제로 하는 이 콘텐츠는 관람객이 직접 암행어사가 되어 조선시대 살인사건의 범인을 찾아야 한다.
사또가 풀지 못한 살인사건 속 살해 방법을 찾아 사건의 범인을 추리하는 콘텐츠이다."
"한국민속촌 살귀옥, A Haunted Prison",4.6.~11.10.|13:30~21:30(금토일및공휴일),경기도 용인시,"‘살귀옥’은 무당 이화가 장악한 신당골이 귀굴로 변한 지 5년째 되는 해, 신당골 고갯마루에 악귀에 빙의된 살귀들이 살고 있다는 소문으로 시작된다. 소문 속 살귀들의 정체를 밝히기 위해 체험자들은 퇴마술사가 돼 살귀들의 세상으로 들어가지만, 도망칠 수 없는 극한의 공포를 경험할 수 있다.

체험코스는 총 8개로 나뉘며, 체험 진행에는 15분 정도가 소요된다. 체험자들은 내자원 뒤의 피가 묻어있는 길로 상상력을 자극하는 심리적 공포를 안고 출발한다. 약 400m의 국내 최장 야외코스에서는 덫을 놓아 사람을 사냥하는 등 기괴한 공간 연출로 무언가 나타날 것 같은 두려움을 느낄 수 있다. 지하로 내려가는 미로 구간에서는 문을 열어야만 나아갈 수 있어 극악의 공포를 느끼게 된다.

일부 구간은 도망칠수록 갇혔다는 공포 때문에 폐쇄공포증이 유발될 수 있어 주의가 필요하다. 

‘살귀옥’은 전작의 공포체험보다 공포 수위가 높아 만 13세 이상부터 체험할 수 있으며, 노약자, 임산부, 심장질환자는 참여할 수 없다. 체험코스 마지막 구간에서는 직접 금줄을 만들어 살귀들을 봉인하는 이벤트에 참여하고 리워드도 받아 갈 수 있다."
