관광지명,위도,경도,소재지주소
일제 경성호국신사 계단(108계단),37.546023,126.982542,서울특별시 용산구 신흥로22가길 33
찬바람재,37.534815,126.987014,서울특별시 용산구 녹사평대로 195
옛 남영동 대공분실(민주인권기념관),37.54101166,126.9716345,서울특별시 용산구 한강대로71길 37
옛 용산공설시장(현 남영아케이드),37.543723,126.972924,서울특별시 용산구 한강대로84길 7
전쟁기념관,37.53731405,126.9784661,서울특별시 용산구 이태원로 29
당고개 순교성지,37.53559012,126.966963,서울특별시 용산구 청파로 139-26
옛 풍국제과 공장,37.53567207,126.9695135,서울특별시 용산구 백범로90다길 13
용산신학교,37.53420937,126.9545934,서울특별시 용산구 원효로19길 49
서울 원효로 예수성심당,37.53420937,126.9545934,서울특별시 용산구 원효로19길 49
구 용산 수위관측소,37.533956,126.947132,서울특별시 용산구 청암동 169-1
심원정 왜명강화지처비,37.53342496,126.95186,서울특별시 용산구 효창원로8길 28
청암동 부군당,37.534803,126.946373,서울특별시 용산구 원효로 17-11
산천동 부군당,37.535662,126.9531703,서울특별시 용산구 효창원로15길 7
3.1운동 용산인쇄소 노동자 만세시위지,37.53543893,126.9584156,서울특별시 용산구 원효로41길 33
김해가야테마파크,35.25163508,128.8937494,경상남도 김해시 가야테마길 161
김해낙동강레일파크,35.37177644,128.8208387,경상남도 김해시 생림면 마사로473번길 41
가야랜드,35.25817158,128.9024348,경상남도 김해시 인제로 368(삼방동)
김해천문대,35.25306424,128.887298,경상남도 김해시 가야테마길 254(어방동)
동악산,35.26726372,127.2575047,전라남도 곡성군 곡성읍 도림로 175
김포국제조각공원,37.72080378,126.552204,경기도 김포시 월곶면 용강로13번길 38
아트빌리지(한옥마을),37.6466321,126.696212,경기도 김포시 모담공원로 170
예천포리관광지,36.70015808,128.514204,경상북도 예천군 감천면 복골길 150
예천삼강,36.56378393,128.304509,경상북도 예천군 풍양면 삼강리길 53-23
청도박물관,35.6942561,128.6865383,경상북도 청도군 이서면 이서로 567
한국코미디타운,35.69358927,128.6863109,경상북도 청도군 이서면 이서로 565
청도소싸움미디어체험관,35.68529236,128.7242012,경상북도 청도군 화양읍 남성현로 346
서울 한양도성(서울성곽),37.551483,126.9853756,서울특별시 용산구 후암동 산1-2
후암동 조선은행 사택지,37.547716,126.9786783,서울특별시 용산구 후암로16가길 7
서울 해병대사령부 초대교회,37.54303445,126.982882,서울특별시 용산구 용산동2가 2-18
소촌아트팩토리,35.1526623,126.7908822,광주광역시 광산구 소촌로85번길 14-9
별밤미술관 in 첨단,35.22222807,126.8442514,광주광역시 광산구 첨단중앙로182번길 39
별밤미술관 in 수완,35.18611658,126.8193296,광주광역시 광산구 신가동 1051
별밤미술관 in 운남,35.17144137,126.8159402,광주광역시 광산구 목련로 156
통명산,35.20404024,127.2592454,전라남도 곡성군 삼기면 금계리 산 137-1
조태일시문학기념관,35.13351552,127.3685909,전라남도 곡성군 죽곡면 태안로 622-38
남원백두대간생태교육장전시관,35.397328,127.5079302,전라북도 남원시 운봉읍 운봉로 151
만인의총,35.420404,127.377325,전라북도 남원시 만인로 3
아담원,35.440571,127.476826,전라북도 남원시 이백면 목가길 193
남원관광지,35.402481,127.386137,전라북도 남원시 양림길 12
으능정이문화의거리,36.32934665,127.428337,대전광역시 중구 중앙로 170
유성온천,36.3547298,127.3375865,대전광역시 유성구 계룡로60
화암관광지,37.35092374,128.7896216,강원도 정선군 화암면 화암동굴길 12-13
아우라지 관광지,37.47574407,128.7243663,강원도 정선군 여량면 아우라지길 69
곡성 섬진강 기차마을,35.27753157,127.3082867,전라남도 곡성군 오곡면 기차마을로 232
기차마을 장미공원,35.27753157,127.3082867,전라남도 곡성군 오곡면 기차마을로 232
협재관광지,33.39349585,126.2385969,제주특별자치도 제주시 한림읍 협재리 2450
곽지관광지,33.4499564,126.3041171,제주특별자치도 제주시 애월읍 곽지리 1566
김녕관광지,33.5548971,126.7654535,제주특별자치도 제주시 구좌읍 김녕리 497-5
40계단테마거리,35.10397225,129.0346287,부산광역시 중구 대청로135번길 13
BIFF광장,35.09862035,129.0287588,부산광역시 중구 비프광장로 36
영도대교,35.09725344,129.035681,부산광역시 중구 태종로 8
보수동책방골목,35.10323904,129.0263248,부산광역시 중구 대청로 57-1
용두산공원,35.1009305,129.0324434,부산광역시 중구 용두산길 37-55
광복로,35.09947039,129.0311659,부산광역시 중구 광복중앙로 1
부산영화체험박물관,35.10169342,129.033594,부산광역시 중구 대청로126번길 12
작괘천,35.55162452,129.0953395,울산광역시 울주군 상북면 등억알프스리 18-2
대운산 내원암 계곡,35.39913422,129.2309807,울산광역시 울주군 온양읍 대운상대길 382
간절곶 공원,35.3625312,129.3591079,울산광역시 울주군 서생면 간절곶해안길 205
어답산관광지,37.59380861,128.0575207,강원특별자치도 횡성군 갑천면 어답산로 516
유현문화관광지,37.52903211,127.8186829,강원특별자치도 횡성군 서원면 경강로유현1길 30
웰리힐리파크 관광단지,37.49012611,128.2501389,강원특별자치도 횡성군 둔내면 고원로 451
무궁화오토캠핑장,35.97398132,127.2315513,전라북도 완주군 고산면 고산휴양림로 89
송광사&벚꽃길,35.885763,127.2417509,전라북도 완주군 소양면 송광수만로 255-16
위봉사&위봉폭포&위봉산성,35.9105769,127.2572831,전라북도 완주군 소양면 위봉길 53
화암사,36.06629938,127.2872339,전라북도 완주군 경천면 화암사길 271
춘향테마파크,35.401464,127.386902,전라북도 남원시 양림길 14-9
남원항공우주천문대,35.399194,127.387388,전라북도 남원시 양림길 48-63
남원시립김병종미술관,35.398706,127.389555,전라북도 남원시 함파우길 65-14
